,0 -- 1.93483998,3.22714918,4.33691651,6.96985935,70,GENERAL
ATF7,0.5527236381809095,0.633,0.5975,0.6763381690845423,0.6368184092046023,0.6192619261926192
ZNF382,0.5187406296851574,0.619,0.617,0.6903451725862931,0.776888444222111,0.6443644364436444
ERF::SREBF2,0.5642178910544727,0.6705,0.6765,0.6853426713356678,0.7268634317158579,0.6646664666466646
NR1D2,0.6226886556721639,0.6195,0.6695,0.695847923961981,0.7393696848424212,0.6693669366936693
ZNF8,0.5417291354322838,0.6265,0.64,0.7288644322161081,0.8654327163581791,0.6804680468046804
ZNF558,0.5592203898050975,0.6485,0.6505,0.7648824412206103,0.8439219609804902,0.6933693369336934
Mecom,0.6056971514242878,0.6485,0.7185,0.7208604302151076,0.8054027013506754,0.6997699769976997
NR2F6,0.6966516741629185,0.7145,0.7435,0.7618809404702351,0.8759379689844923,0.7584758475847585
ZNF157,0.6946526736631684,0.8025,0.782,0.8809404702351176,0.8839419709854928,0.8087808780878087
Creb5,0.7051474262868566,0.7865,0.8355,0.8934467233616809,0.9169584792396198,0.8274827482748275
ZIC5,1.0504747626186905,0.9165,0.775,0.7783891945972986,0.695847923961981,0.8432843284328433
BHLHE41,0.6756621689155422,0.903,0.9465,0.9334667333666833,0.8649324662331166,0.8646864686468647
OVOL2,0.767616191904048,0.985,0.8835,0.9604802401200601,0.7963981990995498,0.8785878587858786
HOXC9,0.7496251874062968,0.817,0.899,0.9429714857428715,1.0645322661330665,0.8945894589458946
NR1D1,0.8700649675162418,0.894,0.893,0.9109554777388694,0.9219609804902451,0.897989798979898
NFE2,0.7666166916541729,0.9085,0.8855,0.9724862431215607,1.0,0.9065906590659066
Ar,0.8225887056471765,0.9885,0.94,0.9339669834917459,0.919959979989995,0.920992099209921
ZNF282,0.9100449775112444,0.9545,0.9055,0.9134567283641821,0.9239619809904952,0.9214921492149215
ZNF16,0.9370314842578711,1.002,0.955,0.9574787393696849,1.017008504252126,0.9736973697369737
RFX2,0.7876061969015492,0.978,1.005,1.103551775887944,1.0045022511255628,0.9756975697569757
RELA,0.904047976011994,0.918,0.935,1.007503751875938,1.1230615307653826,0.9774977497749775
USF2,0.7451274362818591,1.041,1.045,1.0690345172586293,0.9874937468734367,0.9774977497749775
NFIA,0.9075462268865567,0.9845,1.0125,1.0790395197598799,1.1110555277638818,1.018901890189019
ZNF140,0.9550224887556222,1.0285,1.0405,1.0565282641320661,1.0930465232616309,1.0347034703470348
Arnt,0.9720139930034982,1.148,1.1475,1.1235617808904452,1.1885942971485743,1.115911591159116
Tcf21,1.0184907546226887,1.231,1.182,1.2416208104052027,1.0595297648824413,1.1465146514651465
ZIC1,1.3788105947026488,1.2415,1.0715,1.0910455227613807,1.0140070035017508,1.1594159415941594
MEF2B,0.8835582208895553,1.05,1.09,1.2406203101550775,1.6443221610805403,1.1816181618161816
CEBPE,1.00199900049975,1.237,1.1955,1.2481240620310154,1.2516258129064533,1.1868186818681867
E2F4,1.1874062968515742,1.323,1.164,1.1625812906453226,1.1545772886443222,1.1983198319831982
MEF2D,0.9130434782608695,1.0865,1.1285,1.2691345672836418,1.629814907453727,1.2053205320532052
BACH2,1.064967516241879,1.198,1.179,1.2901450725362682,1.3781890945472737,1.222022202220222
ELK1::HOXB13,1.2133933033483257,1.2775,1.237,1.217608804402201,1.2311155577788895,1.2353235323532352
FOXF2,1.0834582708645677,1.2065,1.2445,1.3026513256628314,1.4372186093046524,1.2548254825482548
HSF1,1.0514742628685658,1.1845,1.281,1.3646823411705853,1.423711855927964,1.261026102610261
REST,1.221889055472264,1.311,1.2765,1.2701350675337668,1.3556778389194597,1.287028702870287
HOXC11,1.0144927536231885,1.1505,1.2895,1.385192596298149,1.5982991495747874,1.2875287528752875
CREB3,1.1264367816091954,1.3115,1.3445,1.3836918459229615,1.3846923461730865,1.3101310131013102
IRF3,1.1664167916041979,1.247,1.364,1.431215607803902,1.3566783391695847,1.3130313031303131
PAX2,1.2598700649675163,1.3955,1.309,1.3146573286643322,1.3006503251625814,1.3159315931593158
ZNF343,1.2533733133433282,1.4765,1.333,1.3846923461730865,1.1620810405202602,1.321932193219322
PPARG,1.0974512743628186,1.208,1.2345,1.3986993496748374,1.6778389194597298,1.3232323232323233
INSM1,1.3388305847076463,1.347,1.2445,1.3596798399199599,1.4267133566783392,1.3433343334333434
MLX,1.0764617691154423,1.368,1.431,1.4317158579289644,1.4872436218109055,1.358835883588359
RFX5,1.133433283358321,1.4,1.395,1.5157578789394697,1.4187093546773386,1.3725372537253726
CREB3L1,1.1274362818590704,1.4275,1.3565,1.5227613806903453,1.4517258629314658,1.3771377137713772
