,HUMAN_CODING,HUMAN_NON_CODING,MOUSE_CODING,MOUSE_NON_CODING,NON_PROMOTER,HUMAN_CODING_GENERATED,GENERAL
TFAP4::FLI1,0.07708089097303635,0.09110350727117195,0.0670045045045045,0.08972691807542263,0.08797867183713039,0.0865,0.08416803707579608
PPARG,0.053048065650644786,0.07869974337040206,0.054617117117117114,0.09330299089726918,0.1112457586039748,0.058,0.08741964419195694
POU1F1,0.03751465416178194,0.09751924721984602,0.031813063063063064,0.07737321196358908,0.12425270641460656,0.0565,0.08812976528629092
HOXC11,0.06213364595545135,0.10051325919589392,0.05884009009009009,0.08940182054616384,0.11027629665535628,0.0765,0.09153087158020631
IRF3,0.07854630715123095,0.08041060735671514,0.07150900900900901,0.0929778933680104,0.10389400549361771,0.086,0.09171774555239946
Ar,0.0764947245017585,0.10265183917878529,0.07713963963963964,0.11573472041612484,0.10324769752787204,0.057,0.09429660636866498
FOXF2,0.045134818288393906,0.09923011120615911,0.04954954954954955,0.09232769830949285,0.12166747455162386,0.093,0.09485722828524443
POU2F2,0.04044548651817116,0.10350727117194183,0.03350225225225225,0.08094928478543563,0.1346744223622556,0.062,0.09489460307968306
RFX2,0.08352872215709262,0.11890504704875962,0.10613738738738739,0.14726918075422626,0.0854742284698659,0.05,0.09534310061294662
ZNF16,0.09026963657678781,0.11591103507271172,0.09403153153153153,0.11638491547464239,0.09161415414444983,0.0845,0.09620272088503513
NR1D1,0.10140679953106682,0.10008554319931566,0.08248873873873874,0.11508452535760728,0.10340927451930845,0.0955,0.10083719539542532
BACH2,0.09173505275498242,0.15697177074422583,0.08079954954954954,0.1222366710013004,0.0971885603490063,0.1025,0.10281805950067274
Tcf21,0.06946072684642439,0.10265183917878529,0.061936936936936936,0.13296488946684004,0.12077880109872355,0.0805,0.10322918223949769
ZNF140,0.10609613130128957,0.10393498716852011,0.1089527027027027,0.10273081924577374,0.10656002585231863,0.097,0.10543429511137689
HSF1,0.06799531066822978,0.08383233532934131,0.07573198198198199,0.11573472041612484,0.1353207303280013,0.068,0.107041411272238
PPARD,0.11225087924970692,0.11548331907613345,0.09600225225225226,0.13296488946684004,0.11286152851833899,0.0885,0.11126476304380326
TBXT,0.07121922626025791,0.11633875106929,0.08108108108108109,0.12841352405721718,0.1329778639521732,0.087,0.11279712961578711
POU4F2,0.045427901524032824,0.10222412318220701,0.03462837837837838,0.0858257477243173,0.17167555340119567,0.1025,0.11627298549857976
CEBPE,0.12250879249706917,0.1270316509837468,0.10529279279279279,0.12386215864759428,0.12037485862013249,0.1095,0.11881447152040664
Mlxip,0.18698710433763188,0.1437125748502994,0.21846846846846846,0.14759427828348504,0.06867022136047826,0.094,0.12116908357004036
NFIA,0.07356389214536929,0.11120615911035073,0.0785472972972973,0.1407672301690507,0.15147842947164325,0.104,0.12356107041411273
RELA,0.12866354044548653,0.1394354148845167,0.10754504504504504,0.13621586475942782,0.13071578607206333,0.0985,0.12636417999701002
MYBL2,0.11840562719812427,0.13088109495295125,0.11683558558558559,0.1540962288686606,0.12885765067054453,0.1295,0.1290551651965914
ATF7,0.16881594372801875,0.18092386655260906,0.22438063063063063,0.20611183355006502,0.07077072224915172,0.0795,0.12950366272985497
MYBL1,0.1336459554513482,0.12018819503849444,0.12218468468468469,0.16027308192457737,0.1312005170463726,0.13,0.13260577066826132
RFX5,0.11313012895662368,0.15868263473053892,0.14527027027027026,0.19863459037711315,0.12102116658587816,0.086,0.13283001943489312
ZNF582,0.09320046893317702,0.1407185628742515,0.09628378378378379,0.14304291287386217,0.16836322507674908,0.1235,0.140529227089251
Creb5,0.1667643610785463,0.1817792985457656,0.22691441441441443,0.2051365409622887,0.10106640814348036,0.087,0.14411720735535954
CDX4,0.06946072684642439,0.1317365269461078,0.07122747747747747,0.13654096228868662,0.19397317821942156,0.1395,0.14568694872178203
Lhx3,0.06506447831184056,0.14114627887082976,0.047015765765765764,0.09947984395318596,0.20988851187590887,0.148,0.14647181940499326
ZBTB32,0.06740914419695193,0.12360992301112061,0.07010135135135136,0.13426527958387516,0.20302148973986103,0.1155,0.14669606817162506
Bach1::Mafk,0.16764361078546308,0.15825491873396064,0.15737612612612611,0.18660598179453836,0.1280497657133624,0.168,0.14934967857676784
OVOL2,0.22303634232121922,0.15012831479897348,0.23902027027027026,0.15897269180754225,0.09783486831475198,0.1855,0.15069517117655853
USF2,0.22801875732708088,0.19204448246364414,0.24296171171171171,0.19408322496749025,0.0939570205202779,0.115,0.1524891613096128
BHLHE23,0.07415005861664713,0.12959794696321641,0.07263513513513513,0.1482444733420026,0.212635320730328,0.1215,0.15491852294812378
REST,0.16090269636576787,0.16424294268605646,0.14949324324324326,0.16319895968790638,0.16747455162384878,0.1275,0.16048736731947974
FOXN3,0.08704572098475967,0.17151411462788707,0.09375,0.16514954486345904,0.20794958797867183,0.1605,0.16571983854088804
FOXO1::FLI1,0.11664712778429073,0.15098374679213003,0.1373873873873874,0.17782834850455137,0.191064792373566,0.15,0.16635521004634474
HOXD10,0.11019929660023446,0.16638152266894782,0.11683558558558559,0.15377113133940182,0.2050412021328163,0.1625,0.16878457168485572
ZNF528,0.15533411488862836,0.17536355859709152,0.14836711711711711,0.17490247074122237,0.18112780740022622,0.138,0.16904619524592615
HOXB9,0.11488862837045721,0.18135158254918735,0.11092342342342343,0.16775032509752927,0.2218452092422039,0.163,0.17932426371654955
DUXA,0.08294255568581477,0.22668947818648416,0.07882882882882883,0.15962288686605983,0.239214735821619,0.153,0.18130512782179697
DUX4,0.09876905041031653,0.21129170230966637,0.08699324324324324,0.14141742522756828,0.2434965260946841,0.133,0.1814546269995515
BHLHE41,0.28194607268464245,0.21813515825491872,0.3443130630630631,0.23211963589076723,0.08579738245273873,0.194,0.18160412617730604
RORA,0.14859320046893318,0.21385799828913601,0.13429054054054054,0.21131339401820545,0.21158507028599127,0.132,0.18750934369860967
PROX1,0.1937280187573271,0.15911035072711718,0.19031531531531531,0.16742522756827047,0.1985781224753595,0.1705,0.18773359246524143
ESRRB,0.1134232121922626,0.17664670658682635,0.10557432432432433,0.20611183355006502,0.24268864113750202,0.127,0.1893780834205412
SMAD3,0.15445486518171161,0.18905047048759624,0.21030405405405406,0.2298439531859558,0.18629827112619163,0.194,0.1912468231424727
CREB3L1,0.2458968347010551,0.2172797262617622,0.23198198198198197,0.1771781534460338,0.16383906931652933,0.202,0.19240544177007027
GFI1,0.12661195779601406,0.2155688622754491,0.11796171171171171,0.20286085825747724,0.24309258361609307,0.1615,0.19849753326356706
Foxq1,0.1093200468933177,0.1894781864841745,0.11148648648648649,0.2093628088426528,0.25197931814509616,0.173,0.19887128120795336
TP73,0.20545134818288394,0.19375534644995723,0.23367117117117117,0.21293888166449934,0.18759088705768298,0.188,0.19946927791897145
ONECUT2,0.10287221570926143,0.14927288280581694,0.11683558558558559,0.16189856957087126,0.2767813863305865,0.172,0.20118851846314845
HOXD12,0.13042203985932005,0.20230966638152267,0.13597972972972974,0.1905071521456437,0.2449507190176119,0.1855,0.20145014202421888
POU2F1::SOX2,0.08587338804220399,0.17835757057313945,0.06531531531531531,0.1817295188556567,0.300452415576022,0.1605,0.20709373598445208
Smad4,0.18317702227432592,0.19931565440547477,0.20664414414414414,0.24772431729518857,0.20883826143157214,0.2105,0.20903722529526086
ELK1::HOXB13,0.317116060961313,0.19033361847733105,0.42286036036036034,0.20123537061118335,0.13225076749070933,0.225,0.21434444610554643
FOXH1,0.08997655334114889,0.20273738237810093,0.10163288288288289,0.21488946684005203,0.2889804491840362,0.2015,0.21613843623860068
ZNF274,0.14712778429073858,0.20958083832335328,0.15230855855855857,0.22171651495448635,0.26030053320407176,0.178,0.21651218418298698
ZIC5,0.399179366940211,0.2617621899059025,0.3400900900900901,0.24479843953185956,0.10849894974955566,0.286,0.21864254746598893
INSM1,0.2922039859320047,0.2797262617621899,0.21846846846846846,0.23374512353706112,0.18201648085312652,0.236,0.2194274181492002
ZSCAN29,0.24003516998827668,0.20444824636441403,0.21396396396396397,0.20741222366710013,0.21796736144772985,0.243,0.21972641650470923
FOSL2,0.16354044548651817,0.2964071856287425,0.12781531531531531,0.26397919375812745,0.24123444821457424,0.1895,0.21983854088802512
ETV2::HOXB13,0.2077960140679953,0.19546621043627033,0.2708333333333333,0.2239921976592978,0.217644207464857,0.234,0.22346389594857227
NEUROG1,0.14361078546307152,0.22284003421727971,0.1455518018018018,0.22334200260078024,0.27621586686055905,0.1845,0.22436089101509943
Nr2e3,0.14126611957796015,0.22369546621043626,0.1579391891891892,0.23276983094928477,0.2747616739376313,0.1985,0.22723875018687398
JUN,0.20838218053927315,0.28999144568006846,0.2286036036036036,0.28966189856957086,0.22305703667797705,0.127,0.228247869636717
RXRG,0.27227432590855805,0.23952095808383234,0.28040540540540543,0.235370611183355,0.20221360478267894,0.2185,0.2298176110031395
TEF,0.17321219226260257,0.24422583404619333,0.18384009009009009,0.23211963589076723,0.2605428986912264,0.202,0.23015398415308716
MAF::NFE2,0.1682297772567409,0.276732249786142,0.14864864864864866,0.25682704811443435,0.26377443851995475,0.212,0.2327702197637913
ZNF343,0.31975381008206333,0.2416595380667237,0.3541666666666667,0.21976592977893367,0.17385684278558733,0.252,0.23344296606368664
TFE3,0.26817116060961316,0.3135158254918734,0.29138513513513514,0.2886866059817945,0.18759088705768298,0.1785,0.23359246524144117
ERF::FIGLA,0.29425556858147717,0.23609923011120615,0.31109234234234234,0.24739921976592977,0.18993375343351107,0.2495,0.23441471071909104
HSF2,0.1623681125439625,0.20444824636441403,0.17426801801801803,0.2425227568270481,0.29019227661980934,0.183,0.23751681865749738
ONECUT3,0.09964830011723329,0.17835757057313945,0.10698198198198199,0.1729518855656697,0.3498949749555663,0.256,0.24338466138436238
CREB3,0.3505275498241501,0.2553464499572284,0.38795045045045046,0.24057217165149544,0.17636128615285182,0.235,0.24532815069517117
PAX2,0.35433763188745604,0.25791274593669805,0.38288288288288286,0.22139141742522755,0.16844401357246727,0.323,0.2460756465839438
ERF::NHLH1,0.29601406799531066,0.272027373823781,0.2989864864864865,0.2555266579973992,0.21037324285021813,0.2785,0.24872925698908657
MLX,0.35023446658851115,0.2887082976903336,0.3662725225225225,0.2701560468140442,0.17312974632412345,0.264,0.2494020032889819
TBX19,0.15064478311840562,0.23438836612489308,0.16385135135135134,0.26397919375812745,0.3090159961221522,0.2205,0.2512333682164748
GATA1::TAL1,0.1351113716295428,0.24850299401197604,0.125,0.22496749024707413,0.33195992890612375,0.2215,0.25153236657198386
PAX8,0.365767878077374,0.24721984602224123,0.4096283783783784,0.22854356306892068,0.169494264016804,0.3255,0.2516444909552997
HOXC12,0.13276670574443142,0.25021385799828916,0.14132882882882883,0.2298439531859558,0.32541606075294877,0.2345,0.25205561369412466
THRA,0.2458968347010551,0.2677502138579983,0.2311373873873874,0.2961638491547464,0.2583616093068347,0.192,0.2533637314994768
NFKB2,0.35990621336459555,0.2951240376390077,0.21537162162162163,0.261703511053316,0.23695265794150913,0.202,0.25508297204365377
TGIF2,0.1559202813599062,0.24593669803250642,0.19172297297297297,0.2740572171651495,0.3097430925836161,0.202,0.2567274629989535
TFEC,0.3118405627198124,0.3237810094097519,0.35050675675675674,0.3020156046814044,0.19663919857812248,0.248,0.2588204514875168
ZIC1,0.4264361078546307,0.31479897348160824,0.37894144144144143,0.2812093628088427,0.1569720471804815,0.32,0.26106293915383466
OLIG1,0.12221570926143024,0.21000855431993157,0.12105855855855856,0.24967490247074123,0.3641945386976895,0.1995,0.2621094333981163
ZKSCAN1,0.24003516998827668,0.2352437981180496,0.26548423423423423,0.276332899869961,0.27435773145904024,0.2785,0.26592166243085663
IRF6,0.26025791324736225,0.24978614200171087,0.2877252252252252,0.24349804941482445,0.28550654386815316,0.288,0.2748168635072507
FERD3L,0.36430246189917936,0.286142001710864,0.28913288288288286,0.26235370611183356,0.2491517207949588,0.2755,0.27586335775153237
MAFG::NFE2L1,0.18376318874560374,0.32506415739948674,0.17286036036036037,0.3215214564369311,0.3275973501373404,0.255,0.28236657198385406
DBP,0.24941383352872215,0.3195038494439692,0.25478603603603606,0.33192457737321196,0.29350460494425595,0.2135,0.2834504410225744
ZNF684,0.3150644783118406,0.34473909324208724,0.29870495495495497,0.33355006501950585,0.24721279689772177,0.2875,0.2841605621169084
Dux,0.15093786635404455,0.34602224123182207,0.1151463963963964,0.23959687906371913,0.383664566165778,0.234,0.2873000448497533
ZNF75A,0.26143024618991795,0.3126603934987168,0.24662162162162163,0.3013654096228869,0.30077556955889484,0.2955,0.28928090895500075
PITX2,0.22655334114888628,0.2998289136013687,0.2286036036036036,0.29681404421326396,0.3306673129746324,0.252,0.29137389744356407
FOXP2,0.1462485345838218,0.2711719418306245,0.14217342342342343,0.2613784135240572,0.39101631927613506,0.3005,0.2946255045597249
Sox6,0.1611957796014068,0.31308810949529514,0.1661036036036036,0.3257477243172952,0.3696881564065277,0.28,0.299372103453431
LMX1A,0.15474794841735054,0.3169375534644996,0.15681306306306306,0.252925877763329,0.39756018742931004,0.332,0.3060621916579459
ZNF76,0.45193434935521687,0.34773310521813516,0.4386261261261261,0.34265279583875163,0.23315559864275326,0.2745,0.3140230228733742
ELK1::HOXA1,0.46512309495896836,0.2844311377245509,0.6382319819819819,0.3237971391417425,0.18492486669898206,0.3155,0.315256391089849
XBP1,0.4976553341148886,0.32763045337895635,0.5022522522522522,0.3068920676202861,0.2084343189529811,0.3395,0.3158543878008671
TCF7L1,0.17995310668229778,0.3015397775876818,0.16582207207207209,0.31176853055916776,0.41379867506867024,0.24,0.31652713410076244
NRL,0.20750293083235638,0.33361847733105215,0.21255630630630631,0.32444733420026006,0.3872192599773792,0.254,0.3192554940947825
ELK1::SREBF2,0.5890973036342321,0.3289136013686912,0.6793355855855856,0.32444733420026006,0.17086766844401358,0.4095,0.3410076244580655
ZNF211,0.152989449003517,0.25962360992301114,0.13879504504504506,0.2847854356306892,0.48553885926644047,0.31,0.34115712363582
BACH1,0.2294841735052755,0.43627031650983744,0.21452702702702703,0.37223667100130037,0.4012764582323477,0.291,0.3460532217072806
JDP2,0.28604923798358733,0.46107784431137727,0.3026463963963964,0.4704161248374512,0.3380998545807077,0.265,0.3472492151293168
Nr2f6,0.29044548651817115,0.36655260906757914,0.27618243243243246,0.4083224967490247,0.3854419130715786,0.2765,0.3516594408730752
ZNF707,0.45515826494724504,0.3947818648417451,0.41835585585585583,0.38914174252275685,0.28445629342381645,0.37,0.35207056361190014
Arnt,0.5354630715123095,0.378956372968349,0.6216216216216216,0.3787386215864759,0.20366779770560672,0.429,0.35375242936163853
IRF7,0.22977725674091443,0.31565440547476475,0.24239864864864866,0.2977893368010403,0.4520924220391016,0.346,0.35831215428315144
ZNF136,0.19226260257913247,0.31907613344739094,0.19510135135135134,0.34102730819245775,0.4767329132331556,0.2775,0.35879802661085364
mix-a,0.16910902696365768,0.34302822925577414,0.1438626126126126,0.25,0.5052512522216837,0.3735,0.3610405142771715
SREBF2,0.38481828839390386,0.38109495295124035,0.38626126126126126,0.3988946684005202,0.3556309581515592,0.2635,0.3637314994767529
MAX::MYC,0.3947831184056272,0.4110350727117194,0.4197635135135135,0.3865409622886866,0.35676199709161416,0.344,0.3771864254746599
NHLH2,0.4194021101992966,0.41830624465355004,0.38992117117117114,0.40897269180754225,0.34674422362255614,0.3815,0.3777470473912393
E2F4,0.7022274325908558,0.3592814371257485,0.7153716216216216,0.3764629388816645,0.1628696073679108,0.5845,0.3782329197189415
HOXC13,0.205158264947245,0.3669803250641574,0.1866554054054054,0.3312743823146944,0.5007270964614638,0.351,0.37898041560771417
Creb3l2,0.4976553341148886,0.4221556886227545,0.5433558558558559,0.3956436931079324,0.293908547422847,0.3545,0.38043803259082076
HOXB2::ELK1,0.5023446658851114,0.35457656116338754,0.6503378378378378,0.3810143042912874,0.27670059783486833,0.389,0.3822693975183136
Six3,0.22655334114888628,0.36142001710863986,0.20411036036036037,0.3491547464239272,0.5069478106317661,0.3085,0.38529675586784273
GATA5,0.20603751465416179,0.3887938408896493,0.19453828828828829,0.3507802340702211,0.5106640814348037,0.3575,0.38937060846165344
CDX1,0.18903868698710433,0.36056458511548334,0.21255630630630631,0.36540962288686607,0.5110680239133948,0.3705,0.38996860517267157
GLIS2,0.6556271981242673,0.5064157399486741,0.5506756756756757,0.4743172951885566,0.2628049765713362,0.5065,0.4149349678576768
NFIB,0.4504689331770223,0.5008554319931565,0.37584459459459457,0.4346553966189857,0.40652771045403135,0.388,0.418149200179399
TAL1::TCF3,0.29161781946072685,0.3887938408896493,0.2697072072072072,0.4226267880364109,0.5415252867991598,0.2955,0.428165645088952
GRHL1,0.261137162954279,0.3644140290846878,0.33079954954954954,0.4044213263979194,0.528114396509937,0.3825,0.42846464344446106
RARB,0.4273153575615475,0.41573994867408043,0.44594594594594594,0.4216514954486346,0.44070124414283407,0.3975,0.43208999850500823
Thap11,0.4490035169988277,0.42429426860564584,0.46790540540540543,0.4157997399219766,0.4312489901438035,0.398,0.43351024069367616
ZNF547,0.2708089097303634,0.4294268605645851,0.29673423423423423,0.41677503250975295,0.5380513814832768,0.3585,0.4350799820600987
HNF1B,0.1884525205158265,0.42258340461933275,0.14414414414414414,0.3790637191157347,0.6083373727581193,0.402,0.43515473164897595
TLX2,0.21688159437280188,0.432420872540633,0.18412162162162163,0.32054616384915474,0.6131846825012118,0.4585,0.44468530423082675
BHLHA15,0.24794841735052756,0.4174508126603935,0.23001126126126126,0.4418075422626788,0.5963806753918242,0.337,0.4505157721632531
ZBTB18,0.26670574443141853,0.4632164242942686,0.2528153153153153,0.464889466840052,0.5794150912910001,0.337,0.45473912393481836
RARA::RXRA,0.5008792497069168,0.4957228400342173,0.46143018018018017,0.5162548764629389,0.41969623525609956,0.4485,0.45548661982359095
FOS::JUND,0.29425556858147717,0.5988023952095808,0.23986486486486486,0.49772431729518857,0.534254322184521,0.4015,0.4560846165346091
Nfe2l2,0.33675263774912073,0.5226689478186484,0.3060247747747748,0.5097529258777633,0.5158345451607691,0.421,0.4579533562565406
RXRB,0.4706916764361079,0.47005988023952094,0.4721283783783784,0.4710663198959688,0.45661657779932135,0.424,0.4608685902227538
ZNF24,0.24765533411488863,0.47946963216424293,0.21424549549549549,0.4128738621586476,0.6169817417999677,0.3605,0.4617655852892809
FOS,0.3994724501758499,0.6449957228400343,0.40625,0.5786736020806242,0.4507998061076103,0.354,0.4627747047391239
ELF4,0.7420867526377491,0.4696321642429427,0.9431306306306306,0.48049414824447334,0.2530295685894329,0.5195,0.4720062789654657
LIN54,0.24267291910902697,0.3853721129170231,0.23141891891891891,0.37223667100130037,0.664081434803684,0.376,0.4734638959485723
ATF4,0.26875732708089095,0.47348160821214713,0.24746621621621623,0.42912873862158646,0.6320891904992729,0.359,0.4770892510091195
PITX1,0.28516998827667056,0.4679213002566296,0.28209459459459457,0.4375812743823147,0.6061560833737276,0.454,0.47936911346987593
SPDEF,0.6890386869871044,0.43926432848588537,0.8789414414414415,0.48992197659297787,0.3096623040878979,0.5,0.47989236059201673
RARG,0.4199882766705744,0.47005988023952094,0.42257882882882886,0.459037711313394,0.5338503797059299,0.4115,0.48123785319180745
