,NON,WEAK,STRONG,GENERATED,ALL
MITF [T01553],0.0018885741265344666,0.002233389168062535,0.009504412763068567,0.01,0.004496713939813214
STAT5A [T04683],0.0056657223796034,0.002233389168062535,0.006788866259334691,0.0,0.004496713939813214
RBP-Jkappa [T01616],0.004721435316336166,0.005583472920156337,0.004073319755600814,0.0,0.004496713939813214
c-Myc [T00140],0.0056657223796034,0.00446677833612507,0.0013577732518669382,0.03,0.00588031822898651
USF1 [T00874],0.006137865911237016,0.00446677833612507,0.002036659877800407,0.0325,0.006399169837426496
ATF-1 [T00968],0.010859301227573183,0.00446677833612507,0.006788866259334691,0.0,0.007090971982013144
EBF [T05427],0.0056657223796034,0.01340033500837521,0.009504412763068567,0.005,0.008993427879626427
POU2F1 [T00641],0.003777148253068933,0.014517029592406477,0.01697216564833673,0.005,0.010549982704946385
AhR [T01795],0.014164305949008499,0.012283640424343942,0.009504412763068567,0.005,0.01176063645797302
FOXO4 [T03403],0.004721435316336166,0.015633724176437745,0.01493550577053632,0.02,0.01176063645797302
ATF [T00051],0.01794145420207743,0.010050251256281407,0.010862186014935505,0.01,0.013144240747146317
CTF [T00174],0.017469310670443813,0.01675041876046901,0.013577732518669382,0.01,0.015738498789346248
RelA [T00594],0.010387157695939566,0.018425460636515914,0.02172437202987101,0.015,0.01608439986163957
NF-kappaB1 [T00593],0.023135033050047216,0.011166945840312675,0.019008825526137134,0.02,0.018159806295399514
PPAR-alpha:RXR-alpha [T05221],0.040132200188857416,0.00893355667225014,0.013577732518669382,0.0,0.020927014873746107
MEF-2A [T01005],0.012275731822474031,0.03796761585706309,0.04073319755600815,0.01,0.027326184711172603
AhR:Arnt [T05394],0.05571293673276676,0.02568397543271915,0.016293279022403257,0.015,0.033552404012452436
USF2 [T00878],0.05760151085930123,0.03015075376884422,0.025118805159538356,0.02,0.038222068488412315
HIF-1 [T01609],0.05996222851746931,0.03685092127303183,0.026476578411405296,0.04,0.04289173296437219
E2F [T00221],0.06610009442870633,0.03573422668900056,0.020366598778004074,0.045,0.043583535108958835
c-Fos [T00123],0.039660056657223795,0.05471803461753211,0.042090970807875085,0.05,0.04565894154271878
AP-1 [T00029],0.03871576959395656,0.05806811836962591,0.04073319755600815,0.055,0.04635074368730543
POU2F2 (Oct-2.1) [T00646],0.014164305949008499,0.0826353992183138,0.06924643584521385,0.06,0.05257696298858527
Sp1 [T00759],0.07129367327667611,0.04578447794528197,0.051595383570943655,0.03,0.05551712210307852
RAR-beta [T00721],0.059490084985835696,0.07872696817420435,0.06992532247114731,0.095,0.07056381874783813
STAT1beta [T01573],0.06704438149197356,0.06979341150195421,0.07603530210454854,0.075,0.07073676928398479
ATF-2 [T00167],0.091123701605288,0.04913456169737577,0.07739307535641547,0.05,0.07177447250086476
NF-AT2 [T01945],0.053824362606232294,0.07705192629815745,0.0923285811269518,0.075,0.07229332410930474
CREB [T00163],0.09206798866855524,0.05025125628140704,0.07739307535641547,0.055,0.07281217571774473
TCF-4 [T02918],0.07743153918791312,0.08151870463428253,0.06992532247114731,0.08,0.07696298858526461
Elk-1 [T00250],0.10953729933899906,0.07314349525404802,0.0835030549898167,0.045,0.08716707021791767
ATF3 [T01313],0.08781869688385269,0.08319374651032943,0.109979633401222,0.045,0.08906952611553096
PEA3 [T00685],0.08923512747875353,0.08598548297040759,0.10183299389002037,0.095,0.09183673469387756
AR [T00040],0.08687440982058546,0.0943606923506421,0.09708078750848609,0.1075,0.09322033898305085
SRY [T00997],0.09962228517469311,0.12060301507537688,0.08893414799728445,0.095,0.10307851954341059
IRF-2 [T01491],0.10056657223796034,0.12562814070351758,0.10522742701968771,0.095,0.10913178830854375
NF-AT1 [T01948],0.12086874409820586,0.11166945840312674,0.09504412763068568,0.0975,0.1098235904531304
HNF-1B [T01950],0.05051935788479698,0.15466219988833055,0.15207060420909707,0.16,0.1162227602905569
LEF-1 [T02905],0.1364494806421152,0.11725293132328309,0.09504412763068568,0.14,0.12020062262193013
NF-AT1 [T00550],0.12228517469310671,0.1423785594639866,0.16021724372029872,0.1425,0.13957108267035628
TBP [T00794],0.042020774315391876,0.21775544388609716,0.19484046164290564,0.1525,0.1430300933932895
c-Ets-2 [T00113],0.10151085930122758,0.1490787269681742,0.20095044127630685,0.16,0.14562435143548946
NF-1 [T00539],0.18744098205854579,0.12395309882747069,0.10454854039375425,0.2075,0.14804565894154273
HOXD9 [T01424],0.037299338999055714,0.26521496370742603,0.19823489477257297,0.17,0.15807679003804911
HOXD10 [T01425],0.037299338999055714,0.26521496370742603,0.19823489477257297,0.17,0.15807679003804911
