,NON,WEAK,STRONG,ALL
AhR:Arnt [T05394],0.14356435643564355,0.05695142378559464,0.02987101154107264,0.08008658008658008
TCF-4 [T02918],0.09515951595159516,0.08151870463428253,0.06992532247114731,0.08303817394726486
POU2F2 (Oct-2.1) [T00646],0.034103410341034104,0.13009491903964265,0.09775967413441955,0.08638331365604093
AP-1 [T00029],0.06820682068206821,0.13344500279173646,0.06381534283774609,0.08992522628886265
IRF-2 [T01491],0.10066006600660066,0.12562814070351758,0.10522742701968771,0.11078315623770169
E2F [T00221],0.19031903190319033,0.09491903964265773,0.04752206381534284,0.11530893349075168
NF-AT1 [T01948],0.13366336633663367,0.11166945840312674,0.09911744738628649,0.11589925226288862
AR [T00040],0.14576457645764576,0.13456169737576773,0.12830957230142567,0.13675718221172767
MEF-2A [T01005],0.04400440044004401,0.2618648799553322,0.13034623217922606,0.14580873671782763
TBP [T00794],0.04235423542354235,0.21775544388609716,0.19484046164290564,0.1483667847304211
RAR-beta [T00721],0.1716171617161716,0.1887213847012842,0.14052953156822812,0.16863439590712317
STAT1beta [T01573],0.2002200220022002,0.20993858179787828,0.1425661914460285,0.18693427784336875
NF-AT2 [T01945],0.16666666666666666,0.23059743160245672,0.18194161575016973,0.1936245572609209
PEA3 [T00685],0.23047304730473048,0.19486320491345616,0.16429056347589951,0.19874065328610782
NF-Y [T00150],0.2068206820682068,0.20268006700167504,0.21656483367277665,0.2081857536402991
Elk-1 [T00250],0.334983498349835,0.175321049692909,0.13577732518669383,0.22097599370326643
SRY [T00997],0.2678767876787679,0.2534896705750977,0.20638153428377462,0.2449822904368359
c-Ets-2 [T00113],0.25412541254125415,0.27749860413176997,0.2830957230142566,0.2707595434868162
TCF-4E [T02878],0.30528052805280526,0.2786152987158012,0.2219959266802444,0.27174340810704445
ATF3 [T01313],0.3124312431243124,0.2897822445561139,0.20095044127630685,0.27213695395513576
HNF-1B [T01950],0.17491749174917492,0.378001116694584,0.3048200950441276,0.2841401023219205
ER-alpha [T00261],0.41474147414741475,0.21608040201005024,0.23150033944331297,0.29161747343565525
LEF-1 [T02905],0.37513751375137516,0.3417085427135678,0.22539035980991173,0.31995277449822906
PXR-1:RXR-alpha [T05671],0.4075907590759076,0.3405918481295366,0.20298710115410726,0.3246753246753247
VDR [T00885],0.41474147414741475,0.3333333333333333,0.2043448744059742,0.325068870523416
GATA-2 [T00308],0.38008800880088006,0.32886655499720824,0.286490156143924,0.3349075167256985
NF-AT1 [T00550],0.3355335533553355,0.35510887772194305,0.31093007467752887,0.33530106257378983
HOXD9 [T01424],0.10231023102310231,0.5717476270240089,0.34012219959266804,0.3366784730421094
HOXD10 [T01425],0.10231023102310231,0.5717476270240089,0.34012219959266804,0.3366784730421094
T3R-beta1 [T00851],0.4812981298129813,0.2853154662199888,0.24915139171758316,0.3449429358520268
IRF-1 [T00423],0.3333333333333333,0.35845896147403683,0.36795655125594023,0.35222353404171586
HNF-1C [T01951],0.24642464246424642,0.4896705750977108,0.38153428377460963,0.37131050767414403
NF-1 [T00539],0.4812981298129813,0.3953098827470687,0.23150033944331297,0.37859110586383315
NFI/CTF [T00094],0.5341034103410341,0.34394193188163036,0.2308214528173795,0.3791814246359701
GCF [T00320],0.6776677667766776,0.2613065326633166,0.21249151391717583,0.3961038961038961
HNF-1A [T00368],0.2810781078107811,0.4879955332216639,0.49015614392396467,0.41460055096418735
Pax-5 [T00070],0.841034103410341,0.5784477945281965,0.4426340801086219,0.6330184966548603
RXR-alpha [T01345],0.7662266226622663,0.5734226689000559,0.648336727766463,0.6641086186540732
p53 [T00671],0.841034103410341,0.5784477945281965,0.5505770536320435,0.6643053915781189
c-Myb [T00137],0.7832783278327833,0.6834170854271356,0.4942294636795655,0.6643053915781189
E2F-1 [T01542],0.9724972497249725,0.6085985482970407,0.45689069925322473,0.6948051948051948
ENKTF-1 [T00255],1.0874587458745875,0.7001675041876047,0.418194161575017,0.7569854388036206
AP-2alphaA [T00035],0.9647964796479648,0.7805695142378559,0.7671418873048201,0.842581660763479
HNF-3alpha [T02512],0.385038503850385,1.4304857621440537,1.0,0.931719795356159
c-Jun [T00133],1.0891089108910892,0.9776661083193746,0.8065173116089613,0.9679260133805588
c-Ets-1 [T00112],1.1633663366336633,0.9430485762144054,0.8940936863543788,1.0076741440377803
YY1 [T00915],1.1160616061606161,0.9921831379117811,0.9063136456211812,1.0116096025186934
STAT4 [T01577],1.1765676567656767,0.948073701842546,0.9796334012219959,1.0389610389610389
GR [T05076],0.911991199119912,1.3160245672808486,1.1595383570943651,1.1261314443132624
GATA-1 [T00306],1.0357535753575358,1.245672808486879,1.2226748133061778,1.1639118457300275
PR B [T00696],1.124862486248625,1.4935790061418202,0.9708078750848609,1.2101534828807556
PR A [T01661],1.124862486248625,1.4935790061418202,0.9708078750848609,1.2101534828807556
C/EBPalpha [T00105],0.918041804180418,1.4852037967615856,1.424304141208418,1.2646595828414011
TFII-I [T00824],1.4785478547854785,1.4092685650474595,1.0427698574338085,1.3278236914600552
TFIID [T00820],0.9444444444444444,1.8498045784477946,1.5471826205023762,1.4382133018496654
XBP-1 [T00902],1.618811881188119,2.0055834729201565,1.4419551934826884,1.7038567493112948
FOXP3 [T04280],2.1958195819581956,2.391959798994975,1.7494908350305498,2.1355765446674537
GR-alpha [T00337],2.3965896589658966,2.3696259073143495,2.0502376103190767,2.286698150334514
C/EBPbeta [T00581],3.1644664466446644,3.766610831937465,3.761031907671419,3.549586776859504
GR-beta [T01920],2.621012101210121,4.293132328308208,4.249151391717583,3.682211727666273
