FACTOR,HUMAN_CODING,HUMAN_CODING_GENERATED,HUMAN_CODING_GENERATED_NEW,HUMAN_NON_CODING,MOUSE_CODING,MOUSE_NON_CODING,NON_PROMOTER
FOXO1::ELK1,0.895662368112544,0.9175,0.3157894736842105,1.015825491873396,0.9667792792792792,1.0565669700910274,1.0031507513330102
Crx,0.8936107854630715,1.145,1.4736842105263157,1.270316509837468,0.8952702702702703,1.2174902470741222,1.6424301179512035
Ddit3::Cebpa,0.8912661195779601,1.02,0.9473684210526315,1.1193327630453378,0.8448761261261262,1.0591677503250976,1.3817256422685409
Nobox,0.8900937866354045,1.6995,0.42105263157894735,1.6073567151411463,0.8826013513513513,1.4944733420026008,2.2577960898368072
ARNT2,0.8856975381008206,0.8,0.5263157894736842,0.7343883661248931,1.021677927927928,0.7064369310793238,0.4116981741799967
FOXC1,0.8848182883939039,1.922,0.47368421052631576,1.65098374679213,1.083614864864865,1.731144343302991,2.483195992890612
FLI1::DRGX,0.8827667057444314,0.8715,0.7894736842105263,0.8267750213857998,1.0596846846846846,0.8959687906371911,0.8237195023428664
BARX2,0.8722157092614302,1.7105,0.47368421052631576,1.6364414029084688,0.7792792792792793,1.4323797139141743,2.6480853126514785
TEAD1,0.8686987104337632,1.1695,1.0,1.3400342172797262,0.8510698198198198,1.3855656697009102,1.8453708191953464
OTX2,0.8625439624853458,1.123,1.4210526315789473,1.2857142857142858,0.8381193693693694,1.226592977893368,1.705364356115689
Sox5,0.861957796014068,1.2505,0.7368421052631579,1.4221556886227544,0.8592342342342343,1.5,1.8683147519793184
NR4A2,0.8575615474794842,0.936,0.9473684210526315,1.1043627031650984,0.8465653153153153,1.1144343302990898,1.2895459686540636
FOSB::JUN,0.854337631887456,0.8455,0.47368421052631576,1.05945252352438,0.9065315315315317,1.040962288686606,1.1658587817094843
ESX1,0.85052754982415,1.4245,0.7368421052631579,1.501710863986313,0.8108108108108109,1.258127438231469,1.9124252706414608
TGIF2LX,0.8487690504103166,0.9715,0.8947368421052632,1.0641573994867408,0.9679054054054054,1.1934330299089726,1.1816933268702536
FOXA2,0.8446658851113716,1.6435,0.5789473684210527,1.5906757912745937,0.8975225225225225,1.6963589076723018,2.446033284860236
JUNB,0.8376318874560376,0.95,0.631578947368421,1.3109495295124038,0.8333333333333334,1.2643042912873863,1.302391339473259
SOX18,0.8361664712778429,1.212,0.9473684210526315,1.3344739093242086,0.8780968468468469,1.4336801040312093,1.7056067216028437
MITF,0.8335287221570926,0.8395,0.3157894736842105,1.1090675791274591,0.8451576576576577,1.0559167750325098,1.0060591371788656
NFATC4,0.8323563892145369,0.8915,1.0,0.8558597091531224,0.8572635135135135,0.8540312093628089,1.0087251575375666
BARX1,0.8297186400937866,1.432,0.6842105263157895,1.3840889649272885,0.790259009009009,1.2727568270481144,1.8384230085635809
Rhox11,0.8215123094958968,1.1925,0.47368421052631576,1.2664670658682635,0.7733671171171171,1.2669050715214565,1.7181289384391665
MAFF,0.8197538100820633,1.133,1.263157894736842,1.3652694610778444,0.8212274774774775,1.3761378413524057,1.8808369688156408
HOXB13,0.813599062133646,1.579,0.5789473684210527,1.3669803250641577,0.7826576576576577,1.2330949284785435,2.184359347228954
TBR1,0.8056858147713951,1.033,0.7894736842105263,1.0453378956372967,0.803490990990991,1.0868010403120936,1.1087413152367105
SOX4,0.8045134818288394,1.182,1.0,1.2715996578272026,0.7801238738738738,1.3182704811443433,1.650589756018743
BHLHE40,0.8012895662368112,0.724,0.3684210526315789,0.6920444824636441,0.9346846846846848,0.7064369310793238,0.4465988043302634
JUND,0.7989449003516998,0.9145,0.7368421052631579,1.363130881094953,0.7598536036036037,1.349804941482445,1.3207303280012923
MXI1,0.7974794841735052,0.8915,0.5263157894736842,1.0384944396920446,0.8524774774774775,1.064369310793238,1.2208757472935854
MNT,0.7951348182883939,0.77,0.631578947368421,0.9508126603934988,0.8336148648648649,0.926853055916775,0.8363225076749071
Dlx5,0.7883939038686987,1.2795,0.7368421052631579,1.250213857998289,0.7874436936936937,1.1859557867360209,1.6375828082081112
ETV5::FIGLA,0.7881008206330598,0.649,0.47368421052631576,0.6278870829769033,0.7111486486486487,0.6300390117035111,0.4677653902084343
ETV2,0.7878077373974208,0.577,0.21052631578947367,0.5436270316509837,0.9552364864864864,0.5607932379713915,0.3618516723218614
MLXIPL,0.786928487690504,0.7285,0.6842105263157895,0.8404619332763046,0.8113738738738738,0.8605331599479844,0.7484246243334949
